#{"t_start": 1716949820.8427901, "env_id": "None"}
r,l,t
-0.14,14,22.072962
-0.05,5,22.084503
-0.17,17,22.177933
-0.06,6,22.207547
-0.05,5,22.232168
-0.15,15,22.289382
-0.08,8,22.322944
-0.07,7,22.352842
-0.12,12,22.406097
-0.08,8,22.426228
-0.11,11,22.451839
-0.17,17,22.505738
-0.09,9,22.527323
-0.06,6,22.540863
-0.06,6,22.55542
-0.06,6,22.569479
-0.14,14,22.61235
-0.06,6,22.631396
-0.04,4,22.640922
-0.2,20,22.686626
-0.07,7,22.714688
-0.07,7,22.74087
-0.04,4,22.753013
-0.03,3,22.75953
-0.13,13,22.790124
-0.1,10,22.823191
-0.04,4,22.838881
-0.2,20,22.915681
-0.13,13,22.96807
-0.11,11,23.007297
-0.09,9,23.043164
-0.05,5,23.056167
-0.03,3,23.063205
-0.16,16,23.099843
-0.09,9,23.121668
-0.1,10,23.160689
-0.05,5,23.174742
-0.15,15,23.217952
-0.04,4,23.23208
-0.05,5,23.250764
-0.07,7,23.26982
-0.03,3,23.277345
-0.05,5,23.289902
-0.38,38,23.486975
-0.33,33,23.629884
-0.08,8,23.648932
-0.13,13,23.689285
-0.05,5,23.704934
-0.23,23,23.759644
-0.04,4,23.769249
-0.2,20,23.847882
-0.22,22,23.928552
-0.15,15,23.979477
-0.04,4,23.9885
-0.05,5,24.0062
499.89,12,24.037304
-0.07,7,24.060598
-0.08,8,24.079137
-0.06,6,24.092725
-0.18,18,24.135883
-0.05,5,24.147396
-0.12,12,24.176461
-0.31,31,24.248685
-0.05,5,24.260702
-0.04,4,24.269719
-0.1,10,24.293265
-0.11,11,24.318809
-0.09,9,24.340849
-0.25,25,24.398755
-0.03,3,24.405273
-0.11,11,24.430315
-0.07,7,24.445853
-0.05,5,24.459365
-0.07,7,24.484014
-0.08,8,24.503081
-0.11,11,24.555205
-0.13,13,24.658229
-0.03,3,24.664745
-0.17,17,24.706405
-0.16,16,24.743005
-0.12,12,24.770552
-0.05,5,24.784103
-0.15,15,24.818155
-0.05,5,24.830679
-0.22,22,24.88228
-0.21,21,24.964585
-0.06,6,24.992733
-0.04,4,25.011255
-0.08,8,25.029786
-0.2,20,25.076875
-0.05,5,25.087898
-0.04,4,25.096919
-0.05,5,25.108969
-0.19,19,25.15457
-0.03,3,25.162608
-0.07,7,25.178138
-0.34,34,25.259305
-0.16,16,25.296529
-0.05,5,25.308568
-0.04,4,25.317605
-0.07,7,25.334169
-0.03,3,25.3422
-0.09,9,25.366326
499.85,16,25.425476
-0.07,7,25.443959
-0.07,7,25.463035
-0.05,5,25.474056
-0.03,3,25.482074
-0.19,19,25.525551
-0.1,10,25.5491
-0.03,3,25.555616
-0.35,35,25.641413
-0.09,9,25.673682
-0.22,22,25.761054
-0.07,7,25.798628
-0.11,11,25.856601
-0.23,23,25.946595
-0.09,9,25.967631
-0.13,13,25.997206
-0.14,14,26.030842
-0.05,5,26.045879
-0.07,7,26.061919
-0.11,11,26.087494
-0.33,33,26.1687
-0.04,4,26.179479
-0.1,10,26.219102
-0.04,4,26.234591
-0.03,3,26.245616
-0.13,13,26.285016
-0.15,15,26.343173
-0.19,19,26.390997
-0.04,4,26.40496
-0.09,9,26.427034
-0.05,5,26.439583
-0.06,6,26.453624
-0.11,11,26.479181
-0.08,8,26.497727
-0.15,15,26.535905
-0.13,13,26.574583
-0.09,9,26.595621
-0.14,14,26.63168
-0.06,6,26.646234
-0.09,9,26.66728
-0.03,3,26.674289
-0.06,6,26.688817
-0.13,13,26.72439
-0.12,12,26.756459
-0.04,4,26.765483
-0.12,12,26.794058
-0.15,15,26.829649
-0.18,18,26.878759
-0.11,11,26.950504
-0.03,3,26.965041
-0.3,30,27.093824
-0.17,17,27.133911
-0.07,7,27.149444
-0.11,11,27.183015
-0.12,12,27.212608
-0.05,5,27.22463
-0.05,5,27.236674
-0.08,8,27.254749
-0.13,13,27.284835
-0.05,5,27.298855
-0.2,20,27.345486
-0.16,16,27.382047
-0.06,6,27.396077
-0.04,4,27.408116
-0.07,7,27.423644
-0.21,21,27.471764
-0.16,16,27.510851
-0.05,5,27.523173
-0.05,5,27.534195
-0.1,10,27.558745
-0.14,14,27.592231
-0.04,4,27.601273
-0.06,6,27.615796
-0.03,3,27.622305
-0.14,14,30.02125
-0.14,14,30.079047
-0.07,7,30.106499
-0.1,10,30.142015
-0.25,25,30.199232
-0.1,10,30.22182
-0.27,27,30.286575
-0.2,20,30.332259
-0.05,5,30.344299
-0.16,16,30.383073
-0.22,22,30.433678
-0.11,11,30.462017
-0.09,9,30.483165
-0.21,21,30.545252
-0.04,4,30.567803
-0.09,9,30.605355
-0.06,6,30.637049
499.84,17,30.703428
-0.07,7,30.719954
-0.09,9,30.740947
-0.23,23,30.795531
-0.38,38,30.883737
-0.15,15,30.919304
-0.04,4,30.929322
-0.16,16,30.984082
-0.11,11,31.017962
-0.12,12,31.045017
-0.08,8,31.063614
499.87,14,31.094673
-0.31,31,31.169528
-0.08,8,31.188078
-0.13,13,31.217137
-0.07,7,31.236051
-0.04,4,31.244583
-0.12,12,31.273681
-0.11,11,31.298506
-0.14,14,31.330591
-0.09,9,31.352942
-0.06,6,31.367472
-0.1,10,31.390736
-0.05,5,31.401761
-0.1,10,31.423905
-0.06,6,31.437962
-0.04,4,31.449531
-0.12,12,31.47789
-0.08,8,31.496431
-0.03,3,31.503582
-0.15,15,31.538356
-0.15,15,31.577209
-0.03,3,31.584721
-0.03,3,31.592084
-0.14,14,31.62512
-0.11,11,31.651299
-0.04,4,31.660815
-0.12,12,31.69839
-0.16,16,31.767107
-0.14,14,31.87863
-0.07,7,31.906681
-0.05,5,31.924854
-0.1,10,31.961762
-0.03,3,31.969268
-0.12,12,32.005061
-0.22,22,32.075893
-0.09,9,32.09643
-0.04,4,32.110991
-0.08,8,32.139451
-0.16,16,32.177952
-0.05,5,32.189582
-0.03,3,32.197147
-0.07,7,32.223039
-0.13,13,32.277378
-0.07,7,32.302996
-0.11,11,32.349528
-0.03,3,32.362057
-0.1,10,32.385098
-0.09,9,32.405894
-0.26,26,32.474038
-0.1,10,32.496569
