#{"t_start": 1716825943.2635386, "env_id": "None"}
r,l,t
-10.02,3,17.414269
-10.03,4,17.424777
-10.03,4,17.432287
-10.04,5,17.446795
-10.02,3,17.452904
-10.02,3,17.462382
-10.03,4,17.472895
-10.02,3,17.481967
-10.14,15,17.50756
-10.3,31,17.562659
-10.56,57,17.669752
-10.23,24,17.714309
-10.04,5,17.722651
-10.03,4,17.72865
-10.02,3,17.734159
-10.03,4,17.744151
-10.03,4,17.75066
-10.08,9,17.765736
-10.23,24,17.80381
-10.53,54,17.894831
-10.36,37,17.956008
-10.08,9,17.969022
-10.08,9,17.983181
-10.07,8,18.000741
-10.02,3,18.00659
-10.2,21,18.040816
-10.74,75,18.164154
-10.17,18,18.194785
-10.04,5,18.206466
-10.04,5,18.21498
-10.03,4,18.221977
-10.02,3,18.230804
-10.03,4,18.237311
-10.02,3,18.239312
-10.07,8,18.254361
-10.24,25,18.30441
-10.69,70,18.411926
-10.04,5,18.418927
-10.06,7,18.431186
-10.03,4,18.449728
-10.03,4,18.464845
-10.03,4,18.477356
-10.04,5,18.494372
-10.09,10,18.566455
-10.19,20,18.610844
-10.13,14,18.634864
-10.02,3,18.63937
-10.2,21,18.681896
-10.33,34,18.754268
-10.45,46,18.84981
-10.19,20,18.903033
-10.04,5,18.921054
-10.02,3,18.923625
-10.03,4,18.937166
-10.03,4,18.950686
-10.02,3,18.961091
-10.79,80,19.180949
-10.2,21,19.237001
-10.02,3,19.251516
-10.03,4,19.262032
-10.09,10,19.282061
-10.02,3,19.28405
-10.16,17,19.337486
-10.35,36,19.441002
-10.31,32,19.531112
-10.07,8,19.551167
-10.26,27,19.616803
-10.29,30,19.764626
-10.03,4,19.772135
-10.39,40,19.839807
-10.2,21,19.874794
-10.02,3,19.884306
-10.6,61,19.982417
-10.11,12,20.001435
-10.31,32,20.059054
-10.2,21,20.10109
-10.06,7,20.118107
-10.02,3,20.127616
-10.02,3,20.137152
-10.04,5,20.148643
-10.11,12,20.170659
-10.54,55,20.312603
-10.11,12,20.341863
-10.17,18,20.375825
-10.12,13,20.403986
-10.36,37,20.499427
-10.03,4,20.505001
-10.02,3,20.510272
-10.06,7,20.524843
-10.04,5,20.534908
-10.02,3,20.542419
-10.04,5,20.555032
-10.02,3,20.562033
-10.58,59,20.717139
-10.11,12,20.747332
-10.25,26,20.797186
-10.5,51,20.9718
-10.03,4,20.978805
-10.04,5,20.989364
-10.05,6,21.003963
-10.02,3,21.010473
499.92,9,21.027034
-10.29,30,21.090039
-10.27,28,21.151597
-10.21,22,21.195652
-10.08,9,21.215177
-10.08,9,21.23827
-10.38,39,21.331227
-10.13,14,21.368581
-10.04,5,21.375091
-10.04,5,21.38209
-10.03,4,21.393598
-10.03,4,21.399107
-10.03,4,21.405107
-10.06,7,21.416382
-10.02,3,21.426897
-10.04,5,21.431898
-10.02,3,21.439417
-10.02,3,21.441416
-10.02,3,21.450923
-10.02,3,21.455925
-10.02,3,21.462436
-10.02,3,21.465437
-10.02,3,21.476762
-10.02,3,21.482272
-10.28,29,21.544855
-10.28,29,21.616485
-10.04,5,21.631048
-10.02,3,21.632047
-10.15,16,21.668095
-10.43,44,21.795245
-10.02,3,21.808261
-10.03,4,21.815439
-10.02,3,21.821422
-10.02,3,21.82856
-10.06,7,21.840877
-10.14,15,21.880045
-10.25,26,21.955605
-10.28,29,22.065012
-10.33,34,22.163083
-10.02,3,22.171601
-10.04,5,22.183132
-10.03,4,22.192642
-10.03,4,22.205151
-10.02,3,22.213185
-10.02,3,22.223691
-10.04,5,22.232102
-10.02,3,22.246234
-10.02,3,22.25375
-10.04,5,22.263803
-10.04,5,22.272321
-10.38,39,22.366723
-10.91,92,22.605415
-10.16,17,22.644995
-10.31,32,22.726352
-10.03,4,22.736862
-10.54,55,22.856642
-10.12,13,22.875151
-10.07,8,22.886659
-10.27,28,22.957159
-10.03,4,22.967224
-10.05,6,22.984225
-10.03,4,22.991225
-10.03,4,23.005245
-10.05,6,23.014852
-10.11,12,23.041766
-10.18,19,23.083807
-10.02,3,23.095302
-10.02,3,23.098405
-10.05,6,23.113418
-10.02,3,23.120926
-10.02,3,23.126925
-10.04,5,23.137433
-10.02,3,23.139944
-10.02,3,23.147943
-10.02,3,23.158454
-10.49,50,23.334471
-10.4,41,23.439493
-10.22,23,23.487371
-10.24,25,23.537936
-10.22,23,23.574462
-10.02,3,23.582973
-10.04,5,23.59248
-10.06,7,23.608557
-10.02,3,23.615613
-10.02,3,23.622725
-10.03,4,23.632787
-10.06,7,23.646294
-10.05,6,23.660763
-10.02,3,23.666099
-10.02,3,23.668097
-10.03,4,23.680147
-10.12,13,23.707178
-10.72,73,23.852
-10.03,4,23.85999
-10.04,5,23.872027
-10.19,20,23.905485
-10.31,32,23.974027
-10.67,68,24.112513
-10.03,4,24.122799
-10.06,7,24.137309
-10.03,4,24.144825
-10.19,20,24.188206
-10.15,16,24.226589
-10.02,3,24.233102
-10.02,3,24.235103
-10.02,3,24.242612
-10.03,4,24.25212
-10.04,5,24.25912
-10.02,3,24.265632
-10.05,6,24.281137
-10.34,35,24.372809
-10.19,20,24.448596
-10.46,47,24.563156
-10.57,58,24.695814
-10.55,56,24.804939
-10.21,22,24.853021
-10.16,17,24.882558
-10.22,23,24.92694
-10.45,46,25.022298
-10.15,16,25.056621
-10.08,9,25.07573
-10.04,5,25.087204
-10.03,4,25.098728
-10.04,5,25.105231
-10.13,14,25.132789
-10.02,3,25.14034
-10.07,8,25.15581
-10.02,3,25.15836
-10.11,12,25.185377
-10.02,3,25.19389
-10.02,3,25.203411
-10.52,53,25.311896
-10.12,13,25.336425
-10.9,91,25.527865
-10.21,22,25.586915
-10.31,32,25.702051
-10.02,3,25.705051
-10.02,3,25.712563
-10.05,6,25.728096
-10.02,3,25.731097
-10.05,6,25.745128
-10.2,21,25.793667
-10.11,12,25.816692
-10.02,3,25.823692
-10.05,6,25.834199
-10.24,25,25.893316
-10.27,28,25.950082
-10.42,43,26.031728
-10.15,16,26.064031
-10.2,21,26.098233
-10.04,5,26.108256
-11.8,181,26.487602
-10.48,49,26.588418
-10.34,35,26.665561
-10.21,22,26.708474
-10.22,23,26.768374
-10.19,20,26.831112
-10.51,52,26.958667
-10.03,4,26.970666
-10.02,3,26.976175
-10.03,4,26.983683
-10.02,3,26.991689
-10.04,5,27.003199
-10.02,3,27.00871
-10.02,3,27.015743
-10.02,3,27.017753
-10.04,5,27.034269
-10.35,36,27.103899
-10.71,72,27.219975
-10.29,30,27.265018
-10.04,5,27.276531
-10.02,3,27.282593
-10.02,3,27.288652
-10.04,5,27.296154
-10.02,3,27.306159
-10.03,4,27.312277
-10.26,27,27.361138
-10.17,18,27.386714
-10.02,3,27.39578
-10.02,3,27.402175
-10.02,3,27.404176
-10.11,12,27.424733
-10.36,37,27.496322
-10.47,48,27.58391
-10.45,46,27.656211
-10.02,3,27.661813
-10.03,4,27.67329
-10.02,3,27.678289
-10.03,4,27.684797
-10.02,3,27.686796
-10.04,5,27.704054
-10.02,3,27.707054
-10.02,3,27.713599
-10.04,5,27.721748
-10.73,74,27.853689
-10.02,3,27.859689
-10.02,3,27.86169
-10.06,7,27.873755
-10.02,3,27.883169
-10.04,5,27.890506
-10.03,4,27.8966
-10.1,11,27.916154
-10.25,26,27.988543
-10.1,11,28.015624
-10.04,5,28.02779
-10.1,11,28.057421
-10.06,7,28.07947
-10.27,28,28.128749
-10.47,48,28.204372
-10.1,11,28.222431
-10.3,31,28.275935
-10.02,3,28.281446
-10.02,3,28.287445
-10.03,4,28.293961
-10.02,3,28.303469
-10.05,6,28.310502
-10.02,3,28.316011
-10.03,4,28.323069
-10.02,3,28.333578
-10.05,6,28.341578
-10.18,19,28.388211
-10.6,61,28.493912
-10.37,38,28.574058
-10.08,9,28.591084
-10.02,3,28.596588
-10.04,5,28.603594
-10.02,3,28.614108
-11.22,123,28.831013
-10.27,28,28.879413
-10.05,6,28.889922
-10.25,26,28.939171
-10.8,81,29.064864
-10.33,34,29.114494
-10.37,38,29.224203
-10.03,4,29.24026
-10.26,27,29.301331
-10.02,3,29.307331
-10.02,3,29.312845
-10.02,3,29.322862
-10.02,3,29.324862
-10.02,3,29.331406
-10.02,3,29.337405
499.93,8,29.358432
-10.03,4,29.365941
-10.38,39,29.427346
-10.67,68,29.533611
-10.07,8,29.550985
-10.23,24,29.592055
-10.28,29,29.636573
-10.98,99,29.795859
-10.15,16,29.828398
-10.74,75,29.959245
-10.5,51,30.048384
-10.4,41,30.119017
-10.33,34,30.186598
-10.06,7,30.202623
-10.02,3,30.205624
-10.02,3,30.210626
-10.04,5,30.22583
-10.02,3,30.231833
-10.02,3,30.237908
-10.84,85,30.42094
-10.26,27,30.502749
-10.05,6,30.513261
-10.16,17,30.554887
-10.02,3,30.557888
-10.02,3,30.567954
-10.04,5,30.575464
-10.02,3,30.585569
-10.02,3,30.596636
-10.59,60,30.720968
-10.73,74,30.83936
-10.06,7,30.850251
-10.04,5,30.857825
-10.03,4,30.868333
-10.02,3,30.876568
-10.18,19,30.9096
-10.41,42,30.971317
-10.26,27,31.02224
-10.02,3,31.02836
-10.02,3,31.03336
-10.04,5,31.04062
-10.03,4,31.05011
-10.04,5,31.056645
-10.05,6,31.068163
-10.25,26,31.113199
-10.12,13,31.136814
-10.04,5,31.149063
-10.83,84,31.288962
-10.12,13,31.309979
-10.55,56,31.408153
-10.54,55,31.50025
-10.23,24,31.539294
-10.25,26,31.602373
-10.22,23,31.6759
-10.24,25,31.723979
-10.36,37,31.785344
-10.18,19,31.839469
-10.07,8,31.857492
-10.02,3,31.863
-10.02,3,31.87
-10.04,5,31.880513
-10.18,19,31.914548
-10.06,7,31.92206
-10.1,11,31.93877
-10.88,89,32.075882
-10.11,12,32.097904
-10.07,8,32.109919
-10.15,16,32.136474
-10.19,20,32.168076
-10.04,5,32.18159
-10.02,3,32.183094
-10.02,3,32.190101
-10.04,5,32.197852
-10.02,3,32.20887
-10.04,5,32.215951
-10.02,3,32.221955
-10.06,7,32.238445
-10.02,3,32.247956
-10.02,3,32.249956
-10.37,38,32.313611
-10.4,41,32.37717
-10.06,7,32.393153
-10.11,12,32.41217
-10.19,20,32.446702
-10.13,14,32.466732
-10.66,67,32.576756
-10.12,13,32.597934
-10.02,3,32.603516
-10.04,5,32.610442
-11.81,182,32.963694
-10.03,4,32.969208
-10.02,3,32.974206
-10.02,3,32.976716
-10.04,5,32.991143
-10.03,4,32.997143
-10.03,4,33.00465
-10.02,3,33.006649
-10.23,24,33.052569
-10.1,11,33.070748
-10.22,23,33.107819
-10.51,52,33.189748
-10.13,14,33.214767
-10.09,10,33.234296
-10.04,5,33.244805
-10.04,5,33.252313
-10.02,3,33.261821
-10.05,6,33.274335
-10.03,4,33.282846
-11.1,111,33.460639
-10.11,12,33.481274
-10.17,18,33.515078
-10.02,3,33.520582
-10.02,3,33.523587
-10.03,4,33.532861
-10.02,3,33.53886
-10.04,5,33.546372
-10.03,4,33.553373
-10.06,7,33.57268
-10.02,3,33.579208
-10.6,61,33.684408
-10.49,50,33.760762
-10.02,3,33.767271
-10.03,4,33.773781
-10.06,7,33.788289
-10.02,3,33.794815
-10.02,3,33.806188
-10.02,3,33.808173
499.93,8,33.822686
-10.04,5,33.832598
-10.85,86,33.983853
-10.22,23,34.053418
-10.18,19,34.112006
-10.08,9,34.130162
-10.33,34,34.191309
-10.1,11,34.208338
-10.18,19,34.240118
-10.03,4,34.245627
-10.13,14,34.272156
-10.19,20,34.303775
-10.15,16,34.329823
