time/fps,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/policy_loss,time/iterations,rollout/ep_len_mean,train/n_updates
210,-8.542287446289265e-07,0.0074906558729708195,-10.3568,154,32500,0.1,0.0,-0.0,6500,36.68,6499
209,-1.7285471187733492e-07,0.007491066586226225,-10.372500000000002,157,33000,0.1,0.0,-0.0,6600,38.25,6599
209,-7.064425062708324e-07,0.007491602096706629,-10.3665,159,33500,0.1,0.0,-0.0,6700,37.65,6699
209,-1.4456531971518416e-07,0.0074923099018633366,-10.391200000000001,162,34000,0.1,0.0,-0.0,6800,40.12,6799
210,-7.517091376030294e-07,27.15079689025879,-10.3972,164,34500,0.1,0.0,-0.0,6900,40.72,6899
210,-2.9052577588117856e-07,0.007492987904697657,-10.4068,166,35000,0.1,0.0,-0.0,7000,41.68,6999
211,-1.7765017901183455e-07,0.007493497338145971,-10.3917,167,35500,0.1,0.0,-0.0,7100,40.17,7099
210,-8.303351819449745e-07,80.19805908203125,-10.391999999999998,170,36000,0.1,-1.1920928955078125e-07,-0.0,7200,40.2,7199
209,-5.883699714104296e-07,0.007494189776480198,-10.3683,173,36500,0.1,-3.6954879760742188e-06,-0.0,7300,37.83,7299
209,-5.891581054129347e-07,0.007494774647057056,-10.383199999999999,176,37000,0.1,7.331371307373047e-06,-0.0,7400,39.32,7399
209,-7.470152922905982e-07,0.11418699473142624,-10.3585,178,37500,0.1,0.0,-0.0,7500,36.85,7499
210,-4.477470554320462e-07,0.00749552994966507,-10.355599999999999,180,38000,0.1,0.0,-0.0,7600,36.56,7599
210,-5.964178058093239e-07,0.0074958824552595615,-10.344000000000003,182,38500,0.1,0.0,-0.0,7700,35.4,7699
211,-5.983903861306317e-07,0.00749647943302989,-10.349299999999998,184,39000,0.1,0.0,-0.0,7800,35.93,7799
210,-1.8494706921501347e-07,0.11417844146490097,-10.3616,187,39500,0.1,0.0,-0.0,7900,37.16,7899
209,-7.498926493099134e-07,0.007497600745409727,-10.3826,190,40000,0.1,0.0,-0.0,8000,39.26,7999
209,-8.852068162923388e-07,106.12743377685547,-10.3883,193,40500,0.1,-1.1920928955078125e-07,-0.0,8100,39.83,8099
209,-3.017519247805467e-07,0.007498125080019236,-10.3573,195,41000,0.1,0.0,-0.0,8200,36.73,8199
210,-3.043925573820161e-07,0.007498810533434153,-10.3661,197,41500,0.1,1.7881393432617188e-07,-0.0,8300,37.61,8299
210,-1.8823205039097957e-07,0.007499508559703827,-10.400800000000002,199,42000,0.1,0.0,-0.0,8400,41.08,8399
211,-4.5453415964402666e-07,0.007500100415199995,-10.413499999999999,201,42500,0.1,-5.602836608886719e-06,-0.0,8500,42.35,8499
210,-6.035284059180412e-07,0.007500544190406799,-10.413599999999999,204,43000,0.1,-1.1920928955078125e-07,-0.0,8600,42.36,8599
209,-7.566654858237598e-07,0.009515794925391674,-10.4051,207,43500,0.1,0.0,-0.0,8700,41.51,8699
209,-6.774468488401908e-07,0.009406561963260174,-10.411,209,44000,0.1,1.4841556549072266e-05,-0.0,8800,42.1,8799
209,-3.0473006518150214e-07,0.009371921420097351,-10.4147,212,44500,0.1,1.1920928955078125e-07,-0.0,8900,42.47,8899
210,-1.1133528543538773e-09,0.009356874972581863,-10.413899999999998,214,45000,0.1,0.0,-0.0,9000,42.39,8999
210,-1.111775227435885e-09,0.0093517005443573,-10.426899999999998,216,45500,0.1,5.960464477539063e-08,-0.0,9100,43.69,9099
210,-9.426453289052006e-07,0.009349638596177101,-10.3933,218,46000,0.1,0.0,-0.0,9200,40.33,9199
210,-3.78797437861067e-07,0.009349080733954906,-10.3976,221,46500,0.1,-2.6226043701171875e-06,-0.0,9300,40.76,9299
209,-4.5434671847033314e-07,0.009348983876407146,-10.418399999999998,223,47000,0.1,0.0,-0.0,9400,42.84,9399
209,-3.3994140835602593e-07,0.009348823688924313,-10.4148,226,47500,0.1,-1.1920928955078125e-07,-0.0,9500,42.48,9499
209,-1.1106017216988562e-09,0.009349032305181026,-10.4286,229,48000,0.1,0.0,-0.0,9600,43.86,9599
209,-6.445654889830621e-07,138.84226989746094,-10.416400000000001,231,48500,0.1,1.1920928955078125e-07,-0.0,9700,42.64,9699
210,-4.5746514842903707e-07,0.10745187103748322,-10.419099999999998,232,49000,0.1,1.1920928955078125e-07,-0.0,9800,42.91,9799
210,-1.9341916868143016e-07,0.10745187848806381,-10.421199999999999,234,49500,0.1,1.1920928955078125e-07,-0.0,9900,43.12,9899
210,-7.621878239660873e-07,0.0093491580337286,-10.406900000000002,237,50000,0.1,0.0,-0.0,10000,41.69,9999
