#{"t_start": 1716825818.5659237, "env_id": "None"}
r,l,t
499.83,18,6.813066
-10.02,3,6.816067
-10.04,5,6.820067
-10.03,4,6.823582
-10.04,5,6.833622
-10.04,5,6.837622
-10.02,3,6.841623
-10.03,4,6.847142
-10.02,3,6.851642
-10.03,4,6.855161
-10.03,4,6.859161
-10.02,3,6.862677
-10.07,8,6.868676
-10.04,5,6.876194
-10.04,5,6.880195
-10.03,4,6.883725
-10.04,5,6.88875
-10.02,3,6.89175
-10.04,5,6.895296
-10.02,3,6.899293
-10.05,6,6.910807
-10.04,5,6.91432
-10.02,3,6.917321
-10.02,3,6.920321
-10.02,3,6.922322
-10.06,7,6.927836
-10.02,3,6.930835
-10.03,4,6.934396
-10.02,3,6.937347
-10.03,4,6.940347
-10.02,3,6.943348
-10.02,3,6.945867
-10.03,4,6.94886
-10.05,6,6.953588
-10.02,3,6.957099
499.91,10,6.964098
-10.06,7,6.976112
-10.02,3,6.978118
-10.02,3,6.98412
-10.04,5,6.98763
-10.04,5,6.991629
-10.02,3,6.99463
-10.02,3,6.99723
-10.02,3,7.001172
-10.03,4,7.006173
-10.04,5,7.012684
-10.02,3,7.016682
-10.02,3,7.020193
-10.02,3,7.024194
-10.02,3,7.028801
-10.03,4,7.031704
-10.02,3,7.034703
-10.03,4,7.045218
-10.02,3,7.048218
-10.05,6,7.054243
-10.02,3,7.058241
-10.05,6,7.065751
-10.04,5,7.072265
-10.04,5,7.078265
-10.02,3,7.08178
-10.02,3,7.085777
-10.02,3,7.088778
-10.02,3,7.095292
-10.04,5,7.100291
-10.04,5,7.104809
-10.03,4,7.109806
-10.05,6,7.116319
-10.04,5,7.121319
-10.02,3,7.129833
-10.02,3,7.133339
-10.04,5,7.139346
-10.02,3,7.143852
-10.08,9,7.154886
-10.03,4,7.159895
-10.04,5,7.165398
-10.04,5,7.170404
-10.05,6,7.177915
-10.05,6,7.183918
-10.02,3,7.187431
-10.02,3,7.189432
-10.04,5,7.193431
-10.02,3,7.195936
-10.02,3,7.198944
-10.04,5,7.204941
-10.02,3,7.213451
-10.04,5,7.217961
-10.02,3,7.219959
-10.04,5,7.223959
499.81,20,7.237982
-10.02,3,7.239988
499.92,9,7.246988
-10.04,5,7.250499
-10.05,6,7.25501
-10.05,6,7.259011
-10.02,3,7.262417
-10.02,3,7.265417
-10.02,3,7.267417
-10.02,3,7.269923
