train/learning_rate,rollout/ep_len_mean,time/total_timesteps,rollout/return_std,rollout/ep_rew_mean,train/step_size,time/fps,train/delta_std,train/iterations,time/time_elapsed
0.01,3.875,17175,0.008850455284118652,-10.028749999999999,0.1412336826324463,872,0.05,200,19
0.01,3.5625,17232,0.008139352314174175,-10.025624999999998,0.15357251465320587,872,0.05,201,19
0.01,3.875,17294,0.014999962411820889,-10.028749999999999,0.0833328515291214,872,0.05,202,19
0.01,4.0,17358,0.011547021567821503,-10.03,0.10825185477733612,872,0.05,203,19
0.01,3.5,17414,0.008164840750396252,-10.024999999999999,0.1530930995941162,872,0.05,204,19
0.01,3.5625,17471,0.007274146657437086,-10.025624999999998,0.17183850705623627,872,0.05,205,20
0.01,4.25,17539,0.016124412417411804,-10.032499999999999,0.07752160727977753,872,0.05,206,20
0.01,3.75,17599,127.48332977294922,21.847500000000004,9.805203262658324e-06,872,0.05,207,20
0.01,4.0625,17664,0.015692323446273804,-10.030624999999999,0.07965614646673203,872,0.05,208,20
0.01,3.375,17718,0.0049995421431958675,-10.02375,0.2500166594982147,872,0.05,209,20
0.01,3.8125,17779,0.011086652986705303,-10.028125,0.11274691671133041,872,0.05,210,20
0.01,4.625,17853,0.01784180849790573,-10.036249999999999,0.07005967199802399,872,0.05,211,20
0.01,3.5625,17910,0.008920859545469284,-10.025624999999998,0.1401190608739853,872,0.05,212,20
0.01,3.75,17970,0.01125451922416687,-10.0275,0.11106526106595993,871,0.05,213,20
0.01,4.375,18040,0.01892935484647751,-10.03375,0.06603457033634186,871,0.05,214,20
0.01,3.8125,18101,0.009105535224080086,-10.028125,0.1372772455215454,866,0.05,215,20
0.01,3.9375,18164,0.012893765233457088,-10.029374999999998,0.0969451442360878,865,0.05,216,20
0.01,3.8125,18225,0.01515192911028862,-10.028125,0.08249706029891968,864,0.05,217,21
0.01,3.8125,18286,0.013768842443823814,-10.028125,0.09078386425971985,864,0.05,218,21
0.01,4.0,18350,0.013662518002092838,-10.03,0.09149035066366196,865,0.05,219,21
0.01,3.6875,18409,0.011383330449461937,-10.026875,0.10980848222970963,865,0.05,220,21
0.01,3.9375,18472,0.008538939990103245,-10.029374999999998,0.1463860422372818,865,0.05,221,21
0.01,3.25,18524,0.005773304495960474,-10.022499999999999,0.21650908887386322,865,0.05,222,21
0.01,4.0625,18589,0.011814345605671406,-10.030624999999999,0.10580245405435562,865,0.05,223,21
0.01,3.1875,18640,0.004030728247016668,-10.021874999999998,0.3101080358028412,865,0.05,224,21
0.01,3.875,18702,0.010878010652959347,-10.028749999999999,0.11490939557552338,865,0.05,225,21
0.01,3.6875,18761,0.009464752860367298,-10.026874999999999,0.13206720352172852,865,0.05,226,21
0.01,3.875,18823,0.01408302504569292,-10.028749999999999,0.08875855058431625,864,0.05,227,21
0.01,3.4375,18878,0.00727427750825882,-10.024375,0.17183542251586914,865,0.05,228,21
0.01,3.9375,18941,0.013889413326978683,-10.029374999999998,0.08999579399824142,865,0.05,229,21
0.01,3.9375,19004,0.011235928162932396,-10.029375,0.11124902218580246,863,0.05,230,22
0.01,4.125,19070,0.016278645023703575,-10.03125,0.07678712904453278,862,0.05,231,22
0.01,3.375,19124,0.006191174034029245,-10.02375,0.20189625024795532,862,0.05,232,22
0.01,3.375,19178,0.0061911228112876415,-10.02375,0.20189791917800903,861,0.05,233,22
0.01,3.3125,19231,0.004786697681993246,-10.023124999999999,0.2611335515975952,862,0.05,234,22
0.01,3.6875,19290,0.007041241507977247,-10.026875,0.17752237617969513,862,0.05,235,22
0.01,4.0,19354,0.016329798847436905,-10.03,0.07654659450054169,862,0.05,236,22
0.01,3.5625,19411,0.008139196783304214,-10.025624999999998,0.15357545018196106,862,0.05,237,22
0.01,3.9375,19474,0.011814480647444725,-10.029375,0.10580124706029892,862,0.05,238,22
0.01,3.4375,19529,0.006291205529123545,-10.024375,0.1986861228942871,863,0.05,239,22
0.01,3.75,19589,0.011254406534135342,-10.0275,0.11106637865304947,862,0.05,240,22
0.01,4.25,19657,0.014832286164164543,-10.032499999999999,0.08427490293979645,862,0.05,241,22
0.01,4.25,19725,0.012909871526062489,-10.032499999999999,0.09682419896125793,862,0.05,242,22
0.01,3.5625,19782,0.007274102419614792,-10.025624999999998,0.17183956503868103,863,0.05,243,22
0.01,3.625,19840,0.008062087930738926,-10.02625,0.155044287443161,863,0.05,244,22
0.01,4.0625,19905,0.014817970804870129,-10.030625,0.08435631543397903,863,0.05,245,23
0.01,4.0,19969,127.48932647705078,21.845000000000002,9.804743058339227e-06,863,0.05,246,23
0.01,4.875,20047,0.029860908165574074,-10.03875,0.04186057299375534,861,0.05,247,23
