#{"t_start": 1716944249.2110465, "env_id": "None"}
r,l,t
-10.13,14,40.375335
-10.02,3,40.386373
-10.11,12,40.428529
-10.22,23,40.533564
-10.05,6,40.550279
-10.04,5,40.564178
-10.05,6,40.581554
-10.1,11,40.667963
-10.11,12,40.723683
-10.2,21,40.77864
-10.08,9,40.802974
499.85,16,40.901489
-10.09,10,40.940374
-10.09,10,40.965422
499.81,20,41.05236
-10.11,12,41.103642
-10.08,9,41.125682
-10.07,8,41.144722
-10.03,4,41.160248
-10.11,12,41.21241
-10.16,17,41.28959
-10.05,6,41.31224
-10.09,10,41.338381
-10.14,15,41.376364
499.89,12,41.457275
-10.05,6,41.520557
-10.05,6,41.537104
-10.03,4,41.547131
-10.12,13,41.584602
-10.11,12,41.627213
-10.08,9,41.661336
-10.04,5,41.678882
499.93,8,41.701535
-10.02,3,41.71424
-10.11,12,41.750439
-10.31,32,41.872658
-10.07,8,41.900367
-10.08,9,41.940109
-10.1,11,41.990798
-10.06,7,42.018352
-10.09,10,42.049284
-10.1,11,42.085497
-10.22,23,42.162535
-10.17,18,42.213633
499.86,15,42.325379
-10.11,12,42.431254
-10.23,24,42.516926
499.64,37,42.667695
-10.04,5,42.682233
-10.04,5,42.699689
-10.05,6,42.718011
-10.02,3,42.741392
-10.06,7,42.805597
-10.07,8,42.838681
-10.05,6,42.876536
-10.05,6,42.925416
-10.09,10,42.961364
-10.19,20,43.029635
-10.1,11,43.074625
-10.08,9,43.102397
-10.06,7,43.121509
-10.12,13,43.155432
-10.06,7,43.175482
-10.02,3,43.1836
-10.06,7,43.215313
-10.1,11,43.310871
-10.05,6,43.326912
-10.02,3,43.333937
-10.12,13,43.425223
-10.04,5,43.437746
-10.02,3,43.446261
499.89,12,43.478683
-10.11,12,43.51029
-10.03,4,43.520514
-10.18,19,43.572309
-10.09,10,43.605823
-10.09,10,43.632335
-10.08,9,43.654429
-10.12,13,43.692407
-10.05,6,43.720536
-10.15,16,43.769778
-10.2,21,43.843801
-10.66,67,44.055582
-10.17,18,44.104068
-10.18,19,44.151174
-10.08,9,44.176819
-10.03,4,44.187497
-10.15,16,44.22837
-10.11,12,44.260299
-10.17,18,44.307342
-10.15,16,44.347559
-10.08,9,44.37362
-10.25,26,44.472136
-10.03,4,44.490168
-10.1,11,44.518434
-10.08,9,45.178513
-10.04,5,45.209288
-10.16,17,45.266834
-10.07,8,45.290279
-10.11,12,45.326451
-10.25,26,45.430415
-10.14,15,45.485775
-10.11,12,45.52227
-10.06,7,45.544247
-10.11,12,45.584376
-10.04,5,45.598119
-10.1,11,45.631571
-10.35,36,45.743475
-10.15,16,45.7864
-10.02,3,45.79693
-10.12,13,45.84263
-10.1,11,45.882389
-10.02,3,45.893583
-10.23,24,45.970432
-10.16,17,46.041971
-10.05,6,46.075573
-10.3,31,46.23027
-10.05,6,46.244383
-10.06,7,46.26185
-10.18,19,46.363478
-10.05,6,46.380534
-10.1,11,46.418762
499.84,17,46.482557
-10.08,9,46.513296
-10.08,9,46.539501
-10.08,9,46.571907
499.93,8,46.599013
-10.04,5,46.613724
-10.11,12,46.666961
-10.23,24,46.768199
-10.05,6,46.785468
-10.03,4,46.79951
