time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,train/learning_rate,train/loss,train/n_updates
836,-5.067099999999999,499,13854,17.71,0.05,27,0.1,0.8991333842277527,3438
840,-5.080099999999999,499,14000,19.01,0.05,28,0.1,0.8939820528030396,3474
844,-5.081699999999999,500,14068,19.17,0.05,28,0.1,0.01278628408908844,3491
848,-5.083399999999998,500,14106,19.34,0.05,28,0.1,0.3019641637802124,3501
852,-5.074099999999999,500,14147,18.41,0.05,28,0.1,0.5899426937103271,3511
856,-5.084199999999998,500,14262,19.42,0.05,28,0.1,0.5929871797561646,3540
860,-5.098699999999999,501,14423,20.87,0.05,28,0.1,0.2964865565299988,3580
864,-5.1004,500,14527,21.04,0.05,28,0.1,0.5991086363792419,3606
868,-5.1,500,14546,21.0,0.05,29,0.1,1.4945104122161865,3611
872,-5.1072999999999995,501,14672,21.73,0.05,29,0.1,0.5894815921783447,3642
876,-5.103499999999999,502,14728,21.35,0.05,29,0.1,0.29947301745414734,3656
880,-5.100999999999999,502,14744,21.1,0.05,29,0.1,0.5825732946395874,3660
884,-5.101199999999999,502,14762,21.12,0.05,29,0.1,0.2936517894268036,3665
888,-5.100799999999998,502,14847,21.08,0.05,29,0.1,0.3021025061607361,3686
892,-5.100599999999998,502,14900,21.06,0.05,29,0.1,0.2971392273902893,3699
896,-5.093399999999998,503,14988,20.34,0.05,29,0.1,1.1884326934814453,3721
900,-5.094699999999998,503,15180,20.47,0.05,30,0.1,0.5933144688606262,3769
904,-5.092599999999998,503,15196,20.26,0.05,30,0.1,0.5939171314239502,3773
908,-5.102399999999999,504,15306,21.24,0.05,30,0.1,0.0029854474123567343,3801
912,-10.1939,504,15340,20.39,0.05,30,0.1,0.5957714319229126,3809
916,-10.190299999999999,505,15464,20.03,0.05,30,0.1,16.79989242553711,3840
920,-10.1756,505,15500,18.56,0.05,30,0.1,0.890485405921936,3849
924,-10.172499999999998,505,15516,18.25,0.05,30,0.1,0.3003627061843872,3853
928,-10.174999999999999,505,15637,18.5,0.05,30,0.1,0.0006193647859618068,3884
